precision,recall,f1-score
0.55,0.4,0.43
0.76,0.73,0.74
0.51,0.5,0.5
0.5,0.5,0.5
0.57,0.57,0.57
0.26,0.21,0.23
0.67,0.64,0.65
0.67,0.64,0.63
0.71,0.71,0.71
0.67,0.57,0.57
