alpha_F,beta_F,alpha_P,beta_P,alpha_O,beta_O,score,score_label
0.10163920997543456,0.2501663190970145,0.10458454528610267,0.1984752728373612,0.10265001701225013,0.30634546135443874,10.3,1
0.056638722302449124,0.06814056686759233,0.07195768899385874,0.19175191211148288,0.03581021097712815,0.12510218803094236,5.8,2
0.0655814620253161,0.33283449168069,0.1447606163225919,0.23638785664975284,0.1499126310817775,0.3972565128642813,10.1,1
0.06777681102441567,0.32820862465061346,0.13573149094664252,0.26301063890360543,0.2160366632738297,0.4736583568750872,10.2,1
0.03837766266490205,0.4016884871897093,0.09394036566290526,0.14752366859896945,0.11065283061747253,0.2396056999118627,5.9,2
0.035079642168654265,0.11283728454420668,0.09607451559802607,0.17203274427670914,0.09992674143986392,0.21615421946736849,10.3,1
0.09027066689791634,0.13487982235291862,0.08401264638532445,0.16522712429997685,0.0808689721581601,0.16622207254191246,6.4,2
0.040523665804139686,0.05696363562662068,0.06935793789744098,0.1487267754857044,0.07711308548204529,0.1367580801125969,4.9,2
0.0736554742140498,0.1219303914687458,0.08950918134906588,0.20458563010708586,0.09853907434175804,0.22167812753245075,6.4,2
0.031391957404756685,0.1560026713612172,0.0735018660374116,0.11027606243800647,0.026462171191241404,0.030514314383015287,10.7,1
0.08085261987143076,0.4607267919255548,0.1355107217049533,0.32039758147365244,0.2241265116012636,0.5533155340471609,10.6,1
0.16541582787943487,0.18934509380200676,0.06969327040387381,0.1285992613206322,0.1423286151320631,0.33879072801766325,6.1,2
0.009159088016992379,0.027097504060208045,0.00804040371563001,0.041000464406211135,0.045159828525944114,0.14762147420835536,5.9,2
0.0865788195200589,0.20084446140709256,0.16374842600982334,0.4106490578234822,0.23685959157782185,0.5831766899727588,10.3,1
0.06317692686803457,0.32138124400128737,0.14280932044848546,0.2301380137317379,0.20135618865741384,0.30154672957816664,10.6,1
0.023012743238373757,0.07015886346124282,0.09091823611630204,0.08053689327666426,0.19313543639657105,0.218461905555354,6.1,2
0.08589042329370063,0.3676999413790063,0.0900890599639064,0.16967771893094832,0.1281608931094304,0.4216465521375141,10.2,1
0.04703027445810525,0.3677327264482464,0.10212893961416768,0.21146415664626508,0.14726918198920455,0.4717065722572089,10.3,1
0.050584358299575805,0.13964866179178187,0.03731538469063273,0.10490509896909578,0.09331233008467206,0.4599501427279781,4.3,2
0.06771298332635971,0.27754600344180064,0.04423246684543358,0.09438200150140323,0.09032383449242047,0.2792463948879163,4.6,2
0.04863898483236995,0.04225623211971216,0.08067440555303143,0.1314633922277781,0.07931296632898753,0.11259269067583427,10.4,1
0.06516055407255399,0.18726246444803574,0.06247705820690565,0.07383143903072603,0.1469126040458103,0.2283440268766127,10.2,1
0.08419689897447677,0.16212583592181587,0.07168955581270882,0.15213593082926338,0.05765958307073269,0.10590827753851206,10.3,1
0.042624523768502426,0.05057204067890988,0.11855857678889513,0.20533349511222188,0.15451733413481475,0.1992611458558543,10.8,1
0.03663025644200075,0.0621811247834369,0.056000498066278805,0.11085399604611572,0.05841487274965328,0.12447036921605704,10.4,1
0.033507074960676904,0.11521694982964395,0.08448658911083595,0.2081565158590182,0.10375757931603874,0.3887291510166432,6.2,2
0.04511170001054817,0.16731877870848855,0.06191794540550615,0.1413024747414302,0.15811039205177171,0.3982842899308852,10.4,1
0.04269962744625624,0.15289336115064805,0.0891900034482785,0.17543516287991248,0.07303234532074374,0.3853068730775402,6.1,2
0.018095740161243483,0.12893732111255107,0.011446820003499036,0.08244079150759474,0.08313187331055891,0.4940750480797508,10.5,1
0.018597447948696444,0.09873167362213342,0.10466986034804147,0.17095525057965552,0.07353784320097723,0.310538018541083,6.2,2
0.020306517425924545,0.13743166015275124,0.05601211415198285,0.2490513108150647,0.07991602680109422,0.3606046498950769,6.4,2
0.05633749813289435,0.3055947395634752,0.12839876803573105,0.22915398610523996,0.14720838715643214,0.32192000313919605,10.5,1
0.02366225701638916,0.13324394886067434,0.07400078827082286,0.15284958382185473,0.09212777638844173,0.30977246627375504,6.4,2
0.045379775732518265,0.12996465159067452,0.056678336418043575,0.13500841997207666,0.1268233529547658,0.3618612186920429,5.4,2
0.04146347435973199,0.15395421915753715,0.0867245583472017,0.16509413488109095,0.1267638818055591,0.4645541048462813,5.3,2
0.058001663120160814,0.225621219180248,0.07581982152769809,0.08224716231599517,0.10075510987672844,0.2266016211984829,6.1,2
0.0021302059461979265,0.005636937225913186,0.03050221857498345,0.03511848077322575,0.01806650678984793,0.02766335030730946,10.6,1
0.08382999029330516,0.24742633342831166,0.08061882101243965,0.2725605506612005,0.09786125581396768,0.4791084486066529,4.9,2
0.0584864116529883,0.288910508714466,0.09027480200442424,0.2359888788613,0.1491699936601979,0.32921385044694,6.0,2
0.01898480996860614,0.04462035993737806,0.0262351242688146,0.07035837760879961,0.04338421133501297,0.23198630662092656,5.4,2
0.058287078812868126,0.12013709444531125,0.07906644931332855,0.17659783084157954,0.14915017003332487,0.3149245554220365,10.5,1
0.06636149701215895,0.0996562743382926,0.04727103115612367,0.10189156990131948,0.06817063831022166,0.3343150740795615,5.1,2
0.06230653834188765,0.2542654682857651,0.05603676266476231,0.13015017086904698,0.11920362655033,0.3819858637198823,10.4,1
0.08980627513665396,0.25483462988485384,0.10490274232546552,0.2655918716351495,0.15747806963456945,0.5005164017336603,10.6,1
0.04780776676932805,0.08051660566713313,0.04334177926344444,0.11023881793875223,0.07288102357656401,0.3168329977194049,10.3,1
0.06937360933287871,0.2399604700526876,0.0519159633970992,0.1615736936699301,0.09588548568824633,0.3644960881850661,6.4,2
0.07221886211036828,0.3618896230596021,0.059604296832039376,0.1432036074790882,0.12789106485054952,0.38188532713913736,4.4,2
0.11253539398475684,0.18018676589089844,0.15439110732538172,0.22578900516449504,0.14399715368892993,0.4242056267426176,10.8,1
0.025841391202894127,0.037735746676803114,0.0604697717048882,0.11830506480711432,0.0594880315347516,0.1600570786961038,6.2,2
0.03750432726744043,0.09169133818878564,0.08970662524349321,0.11486876392337568,0.14308814182006413,0.41700990438211605,10.6,1
0.05894638943121928,0.06295199299736247,0.11134225739355877,0.16869171978177264,0.14574784568731808,0.3745086037135911,6.0,2
0.07046801923729333,0.08752993215712185,0.13454784418681073,0.13530892016475396,0.07106356734544791,0.1128475934387221,10.2,1
0.08068775132356415,0.10165528337321623,0.06903998152603154,0.20789980481012885,0.10023151860684396,0.5290148427638475,4.6,2
0.052982004032015216,0.11271732169262336,0.07039102571862706,0.21500029674332669,0.13656465805094922,0.4093641414671465,10.5,1
0.04989462063385755,0.31971433523202825,0.11555269590883875,0.2007445325339381,0.17419125071881747,0.456707694708393,5.4,2
0.11293529318420227,0.4720492567194303,0.11575753850220225,0.23776938279847734,0.07242323954010538,0.34561443720534496,10.5,1
0.17832687589058113,0.13195977460487734,0.12935939687841336,0.2537412446341964,0.12259252464634825,0.4803817747590482,10.2,1
0.12064732167164227,0.13482008993638464,0.11484005518092105,0.1250772047425576,0.2435645137947577,0.4466058985762677,10.3,1
0.09711632527570446,0.43466349953045263,0.13517461586482155,0.31443019431074376,0.14647455073715304,0.43121363229663595,4.1,2
0.0560831639602545,0.0617265743366705,0.06760542500000598,0.12669777362273613,0.09054141816669922,0.2828999369554426,10.5,1
0.12676658954582185,0.3819623489224546,0.2290078940516377,0.267451087159746,0.2522094955984128,0.30501664037331383,6.2,2
0.0021679306090790235,0.008798351360710619,0.0015262344666485304,0.001965718745518091,0.006483792272626533,0.012020193601850549,6.3,2
0.15862247240287933,0.24013288401873964,0.14865186344596806,0.2712057094522315,0.14552593999937352,0.4470159189812517,10.1,1
0.08701285306337872,0.3041402519205835,0.1646575664399509,0.2384761646458142,0.17663819772871908,0.3335544970141835,10.2,1
0.0671455008671185,0.30231638944700184,0.14849383930358792,0.21926235940098165,0.12825726214723793,0.2680378977956282,5.9,2
0.005321720966222116,0.009635305483548729,0.0029125367903964578,0.0060291082402452855,0.009702403488631377,0.04000448078498277,6.2,2
0.002703815052409096,0.0067362788708472884,0.0014946351043849154,0.002572424210781387,0.014025316702631964,0.06770031288666528,5.5,2
0.0031769961858020856,0.008973938054899586,0.0036212852914326603,0.007261337260497695,0.015581085691632943,0.047797442450619176,10.2,1
0.04529960389400104,0.1706830969886827,0.026032110581110462,0.13125977152295734,0.04861621279759326,0.2067543425743096,10.3,1
0.0019977001439101505,0.004477560119877912,0.003166247354540351,0.006624524102308107,0.004359446059772344,0.008516304502563032,10.2,1
0.02645880339830569,0.15420431301680254,0.06676066401905695,0.17790221064266226,0.04538278173700165,0.22481735243283285,10.6,1
0.06318408240757177,0.33011527030685023,0.0944646629364808,0.3273232459358147,0.0938194790560134,0.5275725146864878,6.3,2
0.03646573914633496,0.1697855342900275,0.03294719726311403,0.2343485345408917,0.02738145437011827,0.10688019518098098,10.1,1
0.02946017804914922,0.09233312463862364,0.02898820393361012,0.20830894939789515,0.0641259977967051,0.4039312710158561,4.5,2
0.03639465890442856,0.1691271140759767,0.04097392203185758,0.1771552651892655,0.0438017923175252,0.21519481863215786,10.2,1
0.028996645868449245,0.1884729839931465,0.022844323772362857,0.07854671368511848,0.06020188902731409,0.3216406053765232,5.5,2
0.022154473342855027,0.1389628126113266,0.021520419297468858,0.0822629076971303,0.04180969378110061,0.2710968945458743,4.4,2
0.03546807284030302,0.3045209218014964,0.08843962284143292,0.19051545557274652,0.05041256539707248,0.23040118799490186,10.6,1
0.05039206026335991,0.2906553463695539,0.08716904098518019,0.14712612775587364,0.1000351820722782,0.240843741309994,4.6,2
0.02103501646924094,0.10498700399502657,0.025036332836917446,0.08001947941012394,0.06354090506606673,0.22982297493026302,2.5,2
0.013755026689714544,0.07718451339057625,0.024073808966778704,0.03739255516886392,0.07343877928540946,0.2318500987373304,4.7,2
0.05797805969731526,0.09392059946936744,0.0991191099572806,0.18212816059415732,0.1147823583609754,0.39257494416923855,10.5,1
0.06293476880035492,0.5423392893604583,0.10700818858659338,0.3086424770658607,0.11962045085669346,0.564112012059521,6.0,2
0.005402342170083158,0.02156103740169865,0.005202205742170439,0.020272691247559614,0.0008102082628988389,0.004786575088607911,10.2,1
0.03754708683570087,0.497973501302967,0.09517902895283847,0.3133262131578683,0.1112547691476725,0.4734140796253981,6.1,2
0.010243826820681177,0.04508033621128125,0.008366467298303532,0.04125131963487563,0.0009302495106528633,0.012209643766893008,10.1,1
0.07970154095603298,0.5209739847496102,0.09688943226763193,0.23372196007814314,0.15076758626341522,0.4013079075454781,6.3,2
0.0025745905054345678,0.016162620292960794,0.0024248670198338228,0.013072962718921504,0.0033922886981117874,0.018025430125772585,10.3,1
0.03426066179667247,0.4858363054710797,0.11263074539066305,0.2337564536896289,0.1260075135195723,0.4330108064829791,6.3,2
0.0481625134479192,0.10927081323352872,0.08110123780771793,0.15007367036357838,0.14271906996965086,0.43004284738279785,6.2,2
0.0004219426533891722,0.0010935282948834196,0.00024618058617187377,0.0003663659574885076,0.0002686105791664211,0.0006616756247985622,10.3,1
0.04858707869061444,0.16374278379038087,0.08856929478264848,0.2104752675671172,0.1158465118143574,0.4704267379390715,3.3,2
0.01298297482821075,0.041493115276566316,0.0030979557767073554,0.011350550507099393,0.07736548971734243,0.410967872925903,4.7,2
0.017148232917845615,0.08262326325896235,0.027406946222668743,0.15132233330392514,0.10020709320128887,0.7384959123309829,6.3,2
0.003028967639350155,0.014514510280158072,0.004053898230365063,0.0144425792526153,0.05620761656221676,0.4357473484935855,6.1,2
0.005220163561574702,0.03316863020007944,0.0020431403793081783,0.016200251004954296,0.06867077434927375,0.4918676386490115,3.8,2
0.009965595829547308,0.08434929619942573,0.011349342006133837,0.0732490634286835,0.06837798719567764,0.6223757603263019,3.8,2
0.02200696032972897,0.07347427179224204,0.043771829619953115,0.1567178081363292,0.1930384275449201,0.6661595189287051,6.2,2
0.057797302376130726,0.22018683134287245,0.04012128219601718,0.15026799724613885,0.06436895212387161,0.2061382233711528,10.4,1
0.013364331061806298,0.03912810335265848,0.0911625445681156,0.11512074958425153,0.2417670750042477,0.32228226684744754,4.8,2
0.05267434542636423,0.4314031521223416,0.05812014757249542,0.2279978459127565,0.09954329363867548,0.2307443384076341,10.6,1
0.011441337722502396,0.012649106088903088,0.043981470343256994,0.04940515790636255,0.14376854553738236,0.24169562847481285,6.4,2
0.014466729609780175,0.02173280492700424,0.12041461129173693,0.15397544676874514,0.1260433784644029,0.234441279642172,6.0,2
0.1227703538515399,0.30351544351324017,0.11529240060777847,0.28142349021757634,0.10695147623177112,0.3073117895928692,6.0,2
0.05069214642034508,0.08739080700029897,0.11988870407985144,0.14854817985180235,0.231975188325692,0.2637229422719836,6.4,2
0.10681851784666063,0.09867914361784087,0.10346853241550796,0.18162604200500784,0.1440686723225119,0.2448251173681721,5.3,2
0.08422184815649379,0.11884579251147782,0.1949108933590027,0.25648638493623416,0.292105927918244,0.412906483337414,5.5,2
0.22394217578018985,0.32866696157488107,0.1219830214446056,0.2762116127787903,0.111128976266287,0.45818465141202,6.4,2
0.032714737462365175,0.3315769552727645,0.12363079045063058,0.3000144944519974,0.111310848234695,0.2457962391019009,10.1,1
