,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,5,3,2,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1
2,0,0,0,1,1,0,0,2,1,2,2,1,0,1,0,0,0,0,0,0
3,1,0,0,0,0,0,4,3,1,1,1,0,0,0,0,0,0,0,0,0
4,26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,1,2,3,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0
9,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
11,3,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
12,9,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
15,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
40,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
