,delta_Fp,theta_Fp,alpha_Fp,beta_Fp,gamma_Fp,delta_F,theta_F,alpha_F,beta_F,gamma_F,delta_FC,theta_FC,alpha_FC,beta_FC,gamma_FC,delta_M,theta_M,alpha_M,beta_M,gamma_M,delta_P,theta_P,alpha_P,beta_P,gamma_P,delta_O,theta_O,alpha_O,beta_O,gamma_O,score
10,0.08037616763091253,0.06925287603635007,0.04667640501188313,0.46686987066071756,0.20890208681240932,0.15690288787696954,0.11969172675583295,0.0754605965945025,0.35356045185337287,0.14122057171857513,0.21668135360817367,0.1792241857988535,0.1262166020880483,0.31400300373399226,0.09123741682897726,0.21649606293950574,0.23959802058816904,0.14522018115139063,0.31063456759458385,0.025187851794254052,0.23781153590494722,0.22593111047408615,0.15238803133544737,0.2615624895843146,0.04539539796012736,0.19030702446671888,0.22215903170123855,0.19156184300476448,0.3141839018354342,0.03002941494168075,10.1
11,0.07078076268830848,0.059416943706611526,0.06035196145986046,0.6021741989097753,0.1742474700167728,0.11793837963495435,0.10444507743868774,0.08184592617023892,0.4385534149597346,0.10970503792685711,0.18703538046434415,0.16638988043167122,0.13383288605533772,0.35374080250672835,0.08859304407620948,0.13850712440505672,0.17569725941501166,0.1602366641869139,0.43159353383765425,0.0503213765458332,0.12357339167848294,0.15614495499370545,0.15395045481065162,0.43796624341834667,0.07183301039956946,0.039121542087890204,0.0667299165505582,0.0840275097103706,0.6896767334194024,0.0990237219260771,6.6
12,0.11474128060168846,0.0987072542772513,0.07602157516048876,0.4373610523167608,0.09874730673401176,0.20407989319855005,0.14148462716810495,0.06655672403988269,0.3411881550307147,0.08228379397202487,0.32221084954915885,0.21232124832935173,0.08344806562151741,0.25251730950022916,0.04451727048054717,0.13730019953174272,0.13326145113281346,0.1265875949304605,0.49673166472465313,0.06351459767559547,0.23351356957649472,0.18761829892474166,0.13577984323235312,0.3289640446462756,0.034040686181721125,0.1935949517681368,0.18606317253054808,0.16766563682244157,0.35607507202443744,0.03746041955443617,9.3
13,0.08255078487816511,0.08144659560264107,0.09522898366177007,0.6076069711836062,0.0939390143095053,0.2747331081185817,0.20879965728556157,0.07916620851791342,0.21182725642392822,0.05982500991857829,0.3267196977027431,0.23590068822311305,0.09567861790110019,0.18308616598999367,0.05151983095417769,0.3745943967976888,0.2781912578443624,0.09364152097316528,0.1272757087598922,0.020279427449602323,0.4541798089612291,0.29084266640118767,0.0447009353100428,0.07339047557391032,0.013468641347225524,0.4300559169813626,0.26574169939021547,0.0406418704445803,0.11437930301337584,0.02551480100284899,6.9
14,0.17206626896277014,0.10417794751405896,0.03327642912314357,0.306464118881941,0.15017475066214375,0.25547223102789285,0.16141244982047304,0.053994777750131805,0.24218298949324168,0.07833975417150343,0.2781139618302662,0.17950176073503754,0.08107087507485841,0.31153095815227616,0.06421101457819331,0.22059267421508913,0.1764182671523043,0.08440492470589112,0.3653954387469305,0.08110906792056626,0.3415166760851444,0.21922878658509956,0.08194729883318513,0.22126745557048322,0.03384626395305723,0.28186250435941673,0.20467943764057606,0.09053572258940762,0.28576323591466335,0.05966477644281634,10.2
15,0.09521779803642409,0.07842388547196766,0.05515425624683589,0.6227820048800606,0.11095568236494134,0.1269436668248812,0.08959836197624439,0.06801918108373578,0.429751979165529,0.11792864019092772,0.21539408263838666,0.16714321035539537,0.13460765089925303,0.36695215389390534,0.04543638951344722,0.2592577238412403,0.2015510351366802,0.10954373455002972,0.3230821654409674,0.031539916049422086,0.23983743450323808,0.23144348106681364,0.16476213308433568,0.2700216275696886,0.034312625783409254,0.14995407711066494,0.18375577953349348,0.1756340235256989,0.3895772727343101,0.061779231188119635,6.6
16,0.11697360342075791,0.134639636010126,0.11651402977565173,0.1468838046549057,0.1157679249292969,0.12519832897950725,0.14058962934043,0.10227909095362439,0.230583766987937,0.08168140309636482,0.10285596030055968,0.13312169385898903,0.10132117924706682,0.2836935395275733,0.0741922440855827,0.041566637676554934,0.13817633873136376,0.14740024530589937,0.317671900607024,0.10795458777046449,0.05880179395081746,0.0977467595848672,0.09940486423010556,0.29054843437765515,0.10077884305915308,0.04256794679161494,0.10191079960383403,0.10883174134418384,0.3020487140450351,0.11205626030020405,9.1
17,0.1118600037583075,0.08868732454001181,0.07413875835422114,0.5572879683385276,0.12455564302740414,0.24920819036352637,0.1834147675442806,0.08649214991095193,0.21814602043689296,0.062359338285450525,0.2845611659664217,0.23383521860463194,0.16424444191280024,0.17081489334347436,0.05286507617037038,0.3824734389381319,0.2509729044664692,0.09660479307845232,0.15155364180183556,0.022338505276731535,0.3483800173647804,0.22855100466937106,0.10748517930789463,0.18039580875319525,0.03044570237243771,0.309732818757699,0.1949053388425232,0.0800682437492809,0.267694835273597,0.05885637390565948,7.7
18,0.23773488899156758,0.16171952454046876,0.03990115838062262,0.13798840631793152,0.10162121842328531,0.1795144189645826,0.1490365061256703,0.08710714393646533,0.20990003561031706,0.09648573433380077,0.22690204993484997,0.1789318617371251,0.09528042320233235,0.19697493242246575,0.08244049547493848,0.24648504464672277,0.19479371127485212,0.07787396775151466,0.22131612755718877,0.07283332771607218,0.16311671113233123,0.12423330974554311,0.08584509786789833,0.23546705586979771,0.1002518077345846,0.08708632093453525,0.11519433066633739,0.11921833002187501,0.27767280805446,0.11959730708597124,9.5
19,0.10704243832098166,0.08610951834748161,0.056453450168151474,0.5602645984981889,0.13812061481107935,0.1482626058898041,0.12277153981853199,0.10159954186548029,0.35879368925154353,0.10129098462444693,0.21152144688469512,0.196594869796887,0.14651294753590655,0.2974380481915686,0.07206477347384402,0.23014821344657,0.23054372969568332,0.14110240147535003,0.28746895348403556,0.03804276811576619,0.26522563426508394,0.22287543627257672,0.12926985194797874,0.25948362725297913,0.04011216283867701,0.14398927272591627,0.1683439033365215,0.12351019116484076,0.44276290334534874,0.07810662339020225,5.9
